Item,Condition,Current Qty,Par Qty,Minimum Restock,Unit,Vendor,Category,Code (copy to gform),PNS,TRIGGER,Merged Doc ID - Sarkop Stock Opname PDF,Merged Doc URL - Sarkop Stock Opname PDF,Link to merged Doc - Sarkop Stock Opname PDF,Document Merge Status - Sarkop Stock Opname PDF
Saus Teriyaki,Bahaya!,1,3,6,pack 1 liter,Online,Bahan Krusial,Saus Teriyaki [pack 1 liter],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Bawang Goreng,Bahaya!,0,2,5,pack 1 kg,Online,Bahan Krusial,Bawang Goreng [pack 1 kg],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Mie Telur,Bahaya!,2,30,60,pack 3 pcs,Online (idm),Bahan Krusial,Mie Telur [pack 3 pcs],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Sosis,-,1,1,2,pack 1 kg (40 pcs),Prima,Bahan Krusial,Sosis [pack 1 kg (40 pcs)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Nugget,-,1,1,2,pack 500 gr,Prima,Bahan Krusial,Nugget [pack 500 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Kornet,-,24,4,8,kaleng 340 gr,Barokah / Online,Bahan Krusial,Kornet [kaleng 340 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Roti Kadet,-,12,4,8,pack,Tukang Roti,Bahan Krusial,Roti Kadet [pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Keju Cheddar,Low,2,3,6,pack 1 kg,Online,Bahan Krusial,Keju Cheddar [pack 1 kg],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Kentang,Bahaya!,0,1,2,pack 1 kg,Prima,Bahan Krusial,Kentang [pack 1 kg],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Cooking Cream,-,4,3,6,pack 1 liter,Agro Boga Utama,Bahan Krusial,Cooking Cream [pack 1 liter],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Susu Full Cream,Bahaya!,1,24,48,pack 1 liter,Online (idm),Bahan Krusial,Susu Full Cream [pack 1 liter],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Lada Hitam,Low,1,2,4,pack 100 gr,Online,Bahan Krusial,Lada Hitam [pack 100 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Chicken Powder,-,4,1,2,pack 1 kg,Online,Bahan Krusial,Chicken Powder [pack 1 kg],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dada Ayam Fillet,-,2,0,,pack 1 kg,Prima,Bahan Krusial,Dada Ayam Fillet [pack 1 kg],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ahmad Tea - Blackcurrant,Bahaya!,0,3,6,pack utuh,Online,Bahan Krusial,Ahmad Tea - Blackcurrant [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
"Ahmad Tea - Camomile, Honey & Vanilla",Low,2,3,6,pack utuh,Online,Bahan Krusial,"Ahmad Tea - Camomile, Honey & Vanilla [pack utuh]",,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Dilmah - Earl Grey Tea with Vanilla,Bahaya!,0,2,4,pack utuh,Online,Bahan Krusial,Dilmah - Earl Grey Tea with Vanilla [pack utuh],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Cadbury Chocolate Drink,Bahaya!,0,3,6,pack utuh (isi 13),Online,Bahan Krusial,Cadbury Chocolate Drink [pack utuh (isi 13)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Indocafe Original Blend,-,5,3,6,pack 50 pcs,Online,Bahan Krusial,Indocafe Original Blend [pack 50 pcs],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Stevia,-,6,3,10,botol,Online,Bahan Krusial,Stevia [botol],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Drip Bag,Low,2,3,10,pack 50 pcs,Online,Bahan Krusial,Drip Bag [pack 50 pcs],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Beans Kopi Colombia,-,2,1,1,pack 500 gr,Online,Bahan Krusial,Beans Kopi Colombia [pack 500 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Kopi Gadjah,-,6,2,5,pack 138 gr,Online (idm),Bahan Krusial,Kopi Gadjah [pack 138 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Matcha Bubuk,-,2,2,4,pack 100 gr,Online,Bahan Krusial,Matcha Bubuk [pack 100 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Chatramue Thai Tea,Bahaya!,0,2,4,pack 400 gr,Online,Bahan Krusial,Chatramue Thai Tea [pack 400 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Creamer,-,5,3,6,pack 500 gr,Online (idm),Bahan Krusial,Creamer [pack 500 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Beras,Cukup untuk hari ini (>10kg atau setengah karung),-,-,-,?,PD LANDH,Bahan Lainnya,Beras [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Telur,-,5,5,10,tray isi 30 butir,PD LANDH,Bahan Lainnya,Telur [tray isi 30 butir],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Minyak Goreng,Bahaya!,1,4,8,pack 1 liter,PD LANDH,Bahan Lainnya,Minyak Goreng [pack 1 liter],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Kecap,-,2,2,4,"pack 1,52 liter",Barokah / Online,Bahan Lainnya,"Kecap [pack 1,52 liter]",,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Saus Sambal,-,1,1,2,"jerigen 5,5 liter",Barokah,Bahan Lainnya,"Saus Sambal [jerigen 5,5 liter]",,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Tepung Terigu,Bahaya!,0,2,4,pack 1 kg,Barokah,Bahan Lainnya,Tepung Terigu [pack 1 kg],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Tepung Maizena,-,4,2,4,pack 1 kg,Barokah / Online,Bahan Lainnya,Tepung Maizena [pack 1 kg],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Garam,Cukup untuk hari ini,-,-,-,?,Barokah / Seberang,Bahan Lainnya,Garam [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
MSG,Tidak cukup,-,-,-,?,Barokah,Bahan Lainnya,MSG [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Cabe Rawit Merah,Cukup untuk hari ini,-,-,-,?,Barokah,Bahan Lainnya,Cabe Rawit Merah [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Cabe Besar,Tidak cukup,-,-,-,?,Barokah / Pasar,Bahan Lainnya,Cabe Besar [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Daun Bawang,Cukup untuk hari ini,-,-,-,?,Barokah / Pasar,Bahan Lainnya,Daun Bawang [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Bawang Merah,Cukup untuk hari ini,-,-,-,?,Barokah,Bahan Lainnya,Bawang Merah [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Bawang Putih,Cukup untuk hari ini,-,-,-,?,Barokah,Bahan Lainnya,Bawang Putih [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Sawi,Tidak cukup,-,-,-,?,Barokah,Bahan Lainnya,Sawi [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Tomat,Cukup untuk hari ini,-,-,-,?,Barokah,Bahan Lainnya,Tomat [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Gula,Tidak cukup,-,-,-,?,Barokah / Seberang,Bahan Lainnya,Gula [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Jinten,Tidak cukup,-,-,-,?,Superindo / Online,Bahan Lainnya,Jinten [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Kencur,Tidak cukup,-,-,-,?,Barokah,Bahan Lainnya,Kencur [?],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Parsley,Low,1,2,3,botol 19 gr,Online,Bahan Lainnya,Parsley [botol 19 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Mie Burung Dara,-,2,1,2,pack 630 gr (isi 15),Barokah,Bahan Lainnya,Mie Burung Dara [pack 630 gr (isi 15)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Selai Cokelat,-,2,2,4,pack 1 kg,Online,Bahan Lainnya,Selai Cokelat [pack 1 kg],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
SKM Carnation,-,2,2,4,kaleng 488 gr,Barokah,Bahan Lainnya,SKM Carnation [kaleng 488 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Margarin,-,4,2,4,pack 200 gr,Barokah,Bahan Lainnya,Margarin [pack 200 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
